Epoch,Score
0,0.4766666666666667
1,0.49833333333333335
2,0.525
3,0.5366666666666666
4,0.5516666666666666
5,0.5533333333333333
6,0.575
7,0.5966666666666667
8,0.6233333333333333
9,0.6466666666666666
10,0.6633333333333333
11,0.6683333333333333
12,0.6783333333333333
13,0.685
14,0.69
15,0.6916666666666667
16,0.7
17,0.7166666666666667
18,0.7333333333333333
19,0.7383333333333333
20,0.7416666666666667
21,0.74
22,0.7416666666666667
23,0.7383333333333333
24,0.7383333333333333
25,0.7383333333333333
26,0.74
27,0.74
28,0.7383333333333333
29,0.7383333333333333
30,0.7383333333333333
31,0.7383333333333333
32,0.7383333333333333
33,0.735
34,0.7366666666666667
35,0.74
36,0.7383333333333333
37,0.74
38,0.7416666666666667
39,0.7383333333333333
40,0.7383333333333333
41,0.7366666666666667
42,0.7383333333333333
43,0.7383333333333333
44,0.7383333333333333
45,0.7366666666666667
46,0.7366666666666667
47,0.735
48,0.7366666666666667
49,0.7366666666666667
50,0.7383333333333333
51,0.7383333333333333
52,0.74
53,0.74
54,0.74
55,0.7416666666666667
56,0.7433333333333333
57,0.75
58,0.7516666666666667
59,0.7533333333333333
60,0.7566666666666667
61,0.7566666666666667
62,0.7566666666666667
63,0.7566666666666667
64,0.7566666666666667
65,0.7566666666666667
66,0.7566666666666667
67,0.76
68,0.7616666666666667
69,0.7616666666666667
70,0.7633333333333333
71,0.7633333333333333
72,0.7666666666666667
73,0.7683333333333333
74,0.7683333333333333
75,0.7683333333333333
76,0.7683333333333333
77,0.7733333333333333
78,0.7716666666666666
79,0.7716666666666666
80,0.7716666666666666
81,0.7716666666666666
82,0.7716666666666666
83,0.7716666666666666
84,0.7733333333333333
85,0.7733333333333333
86,0.7733333333333333
87,0.7733333333333333
88,0.7733333333333333
89,0.7733333333333333
90,0.775
91,0.775
92,0.775
93,0.775
94,0.7766666666666666
95,0.7766666666666666
96,0.7766666666666666
97,0.7766666666666666
98,0.7766666666666666
99,0.7766666666666666
